series_id,date,realtime_end,value,realtime_start
INDPRO,1919-01-01,1928-01-26,83.0,1927-01-26
INDPRO,1919-01-01,1940-08-18,82.0,1931-08-26
INDPRO,1919-01-01,1953-11-30,71.0,1940-08-19
INDPRO,1919-01-01,1960-01-14,38.0,1953-12-01
INDPRO,1919-01-01,1962-11-15,24.5,1960-01-15
INDPRO,1919-01-01,1971-08-15,24.6,1962-11-16
INDPRO,1919-01-01,1985-07-17,13.9,1972-11-15
INDPRO,1919-01-01,1990-04-16,10.2,1985-07-18
INDPRO,1919-01-01,1997-01-26,8.0,1990-04-17
INDPRO,1919-01-01,1997-12-08,7.624,1997-01-27
INDPRO,1919-01-01,1999-08-16,7.628,1997-12-09
INDPRO,1919-01-01,2009-03-26,5.4412,2008-03-28
INDPRO,1919-01-01,2010-06-24,5.4404,2009-03-27
INDPRO,1919-01-01,2011-03-24,4.8404,2010-06-25
INDPRO,1919-01-01,2012-03-29,4.8502,2011-03-25
INDPRO,1919-01-01,2013-03-21,4.8605,2012-03-30
INDPRO,1919-01-01,2014-04-15,4.8575,2013-03-22
INDPRO,1919-01-01,2015-07-20,4.8582,2014-04-16
INDPRO,1919-01-01,2016-03-31,5.0354,2015-07-21
INDPRO,1919-01-01,2017-03-30,5.0585,2016-04-01
INDPRO,1919-01-01,2018-03-22,5.0346,2017-03-31
INDPRO,1919-01-01,2021-05-27,5.0124,2018-03-23
INDPRO,1919-01-01,2022-06-27,4.8902,2021-05-28
INDPRO,1919-01-01,2023-03-27,4.8773,2022-06-28
INDPRO,1919-01-01,2024-06-27,4.8665,2023-03-28
INDPRO,1919-01-01,2025-11-23,4.8654,2024-06-28
INDPRO,1919-01-01,2026-07-31,4.8739,2025-11-24
INDPRO,1919-02-01,1928-01-26,80.0,1927-01-26
INDPRO,1919-02-01,1940-08-18,79.0,1931-08-26
INDPRO,1919-02-01,1953-11-30,68.0,1940-08-19
INDPRO,1919-02-01,1960-01-14,37.0,1953-12-01
INDPRO,1919-02-01,1962-11-15,23.5,1960-01-15
INDPRO,1919-02-01,1971-08-15,23.6,1962-11-16
INDPRO,1919-02-01,1976-07-15,13.3,1972-11-15
INDPRO,1919-02-01,1985-07-17,13.2,1976-07-16
INDPRO,1919-02-01,1990-04-16,9.7,1985-07-18
INDPRO,1919-02-01,1997-01-26,7.6,1990-04-17
INDPRO,1919-02-01,1997-12-08,7.287,1997-01-27
INDPRO,1919-02-01,1999-08-16,7.291,1997-12-09
INDPRO,1919-02-01,2009-03-26,5.2007,2008-03-28
INDPRO,1919-02-01,2010-06-24,5.2,2009-03-27
INDPRO,1919-02-01,2011-03-24,4.6265,2010-06-25
INDPRO,1919-02-01,2012-03-29,4.6358,2011-03-25
INDPRO,1919-02-01,2013-03-21,4.6457,2012-03-30
INDPRO,1919-02-01,2014-04-15,4.6428,2013-03-22
INDPRO,1919-02-01,2015-07-20,4.6435,2014-04-16
INDPRO,1919-02-01,2016-03-31,4.8128,2015-07-21
INDPRO,1919-02-01,2017-03-30,4.8349,2016-04-01
INDPRO,1919-02-01,2018-03-22,4.8121,2017-03-31
INDPRO,1919-02-01,2021-05-27,4.7908,2018-03-23
INDPRO,1919-02-01,2022-06-27,4.674,2021-05-28
INDPRO,1919-02-01,2023-03-27,4.6617,2022-06-28
INDPRO,1919-02-01,2024-06-27,4.6514,2023-03-28
INDPRO,1919-02-01,2025-11-23,4.6504,2024-06-28
INDPRO,1919-02-01,2026-07-31,4.6585,2025-11-24
INDPRO,1919-03-01,1928-01-26,77.0,1927-01-26
INDPRO,1919-03-01,1940-08-18,76.0,1931-08-26
INDPRO,1919-03-01,1953-11-30,66.0,1940-08-19
INDPRO,1919-03-01,1960-01-14,35.0,1953-12-01
INDPRO,1919-03-01,1962-11-15,22.7,1960-01-15
INDPRO,1919-03-01,1971-08-15,22.8,1962-11-16
INDPRO,1919-03-01,1985-07-17,12.9,1972-11-15
INDPRO,1919-03-01,1990-04-16,9.5,1985-07-18
INDPRO,1919-03-01,1997-01-26,7.4,1990-04-17
INDPRO,1919-03-01,1997-12-08,7.077,1997-01-27
INDPRO,1919-03-01,1999-08-16,7.08,1997-12-09
INDPRO,1919-03-01,2009-03-26,5.0504,2008-03-28
INDPRO,1919-03-01,2010-06-24,5.0497,2009-03-27
INDPRO,1919-03-01,2011-03-24,4.4928,2010-06-25
INDPRO,1919-03-01,2012-03-29,4.5019,2011-03-25
INDPRO,1919-03-01,2013-03-21,4.5114,2012-03-30
