view_id,20260430_6m_ACTIVE_IWM,20260430_6m_ACTIVE_GLD,20260430_6m_ACTIVE_XLE,20260430_6m_ACTIVE_DBC,20260430_6m_ACTIVE_XLU,20260430_6m_ACTIVE_XLV,20260430_6m_ACTIVE_XLP,20260430_6m_ACTIVE_SOXX,20260430_6m_ACTIVE_USMV,20260430_6m_ACTIVE_XLK
20260430_6m_ACTIVE_IWM,0.00580730969541377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_GLD,0.0,0.03170516281005636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_XLE,0.0,0.0,0.06156644925525005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_DBC,0.0,0.0,0.0,0.026193035169461965,0.0,0.0,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_XLU,0.0,0.0,0.0,0.0,0.022920275987111414,0.0,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_XLV,0.0,0.0,0.0,0.0,0.0,0.01585555049804664,0.0,0.0,0.0,0.0
20260430_6m_ACTIVE_XLP,0.0,0.0,0.0,0.0,0.0,0.0,0.015865151094536914,0.0,0.0,0.0
20260430_6m_ACTIVE_SOXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031110583016164362,0.0,0.0
20260430_6m_ACTIVE_USMV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008738965754941368,0.0
20260430_6m_ACTIVE_XLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012921122368446834
