as_of,effective_month,ticker,weight,weight_pct
2026-07-31,2026-08,BIL,0.40807267303060435,40.8073
2026-07-31,2026-08,HYG,0.060599771812658264,6.06
2026-07-31,2026-08,XLE,0.05809281101142818,5.8093
2026-07-31,2026-08,DBC,0.05629599380968544,5.6296
2026-07-31,2026-08,IWM,0.055876936390974546,5.5877
2026-07-31,2026-08,SPY,0.05238901069256758,5.2389
2026-07-31,2026-08,QQQ,0.03703461705344309,3.7035
2026-07-31,2026-08,EEM,0.03552755431571979,3.5528
2026-07-31,2026-08,SHY,0.0337172985541197,3.3717
2026-07-31,2026-08,XLI,0.03307011917926519,3.307
2026-07-31,2026-08,VLUE,0.03296065750417796,3.2961
2026-07-31,2026-08,XLB,0.029482801411860896,2.9483
2026-07-31,2026-08,XLP,0.023540751515343617,2.3541
2026-07-31,2026-08,XLV,0.022391249994756005,2.2391
2026-07-31,2026-08,SMH,0.02175249857425686,2.1752
2026-07-31,2026-08,UUP,0.01426869980606113,1.4269
2026-07-31,2026-08,CPER,0.013835764479312757,1.3836
2026-07-31,2026-08,USMV,0.011090790863764684,1.1091
