as_of,return_date,ticker,core_component,long_only_component,tsmom_component,raw_weight,target_weight,inner_core_scale,inner_long_only_scale,outer_weight_core,outer_weight_long_only,outer_weight_tsmom,outer_scale,raw_gross_exposure,raw_net_exposure,gross_exposure,net_exposure,long_gross_exposure,short_gross_exposure,cash_weight,unencumbered_cash_weight,borrow_weight,margin_debit_weight,short_collateral_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2006-12-31,2007-01-31,BIL,0.09640453797676587,0.11034612012936301,0.0,0.2067506581061289,0.0,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,CPER,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,DBC,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,EEM,0.005270267088958125,0.006445937369020548,0.03630459736012464,0.04802080181810331,0.04802080181810331,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,EFA,0.0,0.0,0.07076176637756659,0.07076176637756659,0.07076176637756659,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,FXF,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,FXY,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,GLD,0.04988735057048846,0.057572007366357564,0.045504556674081445,0.15296391461092745,0.15296391461092745,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,HYG,0.07357305173296735,0.06998867269268147,0.17845151186877342,0.32201323629442224,0.25,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
2006-12-31,2007-01-31,IEF,0.08770939270801711,0.07487522751196012,-0.13256331647949388,0.03002130374048334,0.03002130374048334,1.5,1.5,0.30826496780383245,0.2951761169322267,0.3965589152639409,1.5,1.6727906683502205,1.6727906683502205,1.3940267739496692,1.3940267739496692,1.3940267739496692,-0.0,-0.39402677394966923,0.0,0.39402677394966923,0.39402677394966923,-0.0,0.6970133869748346,0.3029866130251654,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.2067506581061289,HYG
