date,SPRING,SUMMER,FALL,WINTER,modal_season,confidence,liquidity_z,growth_z,inflation_z,liquidity_pillar_z
1990-01-31,,,,,,,,,,
1990-02-28,,,,,,,,,,
1990-03-31,,,,,,,,,,
1990-04-30,,,,,,,,,,
1990-05-31,,,,,,,,,,
1990-06-30,,,,,,,,,,
1990-07-31,,,,,,,,,,
1990-08-31,,,,,,,,,,
1990-09-30,,,,,,,,,,
1990-10-31,,,,,,,,,,
1990-11-30,,,,,,,,,,
1990-12-31,,,,,,,,,,
1991-01-31,,,,,,,,,,
1991-02-28,,,,,,,,,,
1991-03-31,,,,,,,,,,
1991-04-30,,,,,,,,,,
1991-05-31,,,,,,,,,,
1991-06-30,,,,,,,,,,
1991-07-31,,,,,,,,,,
1991-08-31,,,,,,,,,,
1991-09-30,,,,,,,,,,
1991-10-31,,,,,,,,,,
1991-11-30,,,,,,,,,,
1991-12-31,,,,,,,,,,
1992-01-31,,,,,,,,,,
1992-02-29,,,,,,,,,,
1992-03-31,,,,,,,,,,
1992-04-30,,,,,,,,,,
1992-05-31,,,,,,,,,,
1992-06-30,,,,,,,,,,
1992-07-31,,,,,,,,,,
1992-08-31,,,,,,,,,,
1992-09-30,,,,,,,,,,
1992-10-31,,,,,,,,,,
1992-11-30,,,,,,,,,,
1992-12-31,,,,,,,,,,
1993-01-31,,,,,,,,,,
1993-02-28,,,,,,,,,,
1993-03-31,,,,,,,,0.7371077797478995,,
1993-04-30,,,,,,,,0.6051576079807575,,
1993-05-31,,,,,,,,0.6005456147854095,,
1993-06-30,,,,,,,-0.47277611176473866,0.7125764512415252,,-0.47277611176473866
1993-07-31,,,,,,,-0.2972083903923494,0.42841777598266,,-0.2972083903923494
1993-08-31,,,,,,,-0.027529963756518165,0.3918818274169007,,-0.027529963756518165
1993-09-30,,,,,,,0.31478589723898603,0.29103966693633954,,0.31478589723898603
1993-10-31,,,,,,,0.41929646194041326,0.5289247638184028,,0.41929646194041326
1993-11-30,,,,,,,0.39063627941433665,0.704162574244314,,0.39063627941433665
1993-12-31,,,,,,,-0.15473910117418718,0.6964959936891867,,-0.15473910117418718
1994-01-31,,,,,,,-0.34711041788145863,0.7065700559302153,,-0.34711041788145863
1994-02-28,,,,,,,-0.5069556596607946,0.5237961307784282,,-0.5069556596607946
1994-03-31,0.40989306036688755,0.23108061023822413,0.1294343700730144,0.22959195932187393,SPRING,0.057509084151327605,-0.8594992233345901,0.4346944903846516,-0.42984726418825997,-0.8594992233345901
1994-04-30,0.37417458944267745,0.33409906071148326,0.13760994701281126,0.15411640283302808,SPRING,0.06568489267985489,-1.039085136288148,0.6652607443017304,-0.0849637254163058,-1.039085136288148
1994-05-31,0.297204572863197,0.4483413294862455,0.15301846348342307,0.1014356341671344,SUMMER,0.10579435802082993,-0.9340834447578619,0.8062471860151635,0.3083506044632577,-0.9340834447578619
1994-06-30,0.21718322626741135,0.5579215578798776,0.16187990547150685,0.06301531038120413,SUMMER,0.18763649506014268,-0.9292403023348159,0.9280227293680995,0.7076077629565232,-0.9292403023348159
1994-07-31,0.18768065828669742,0.5823247369108587,0.1739358562521993,0.056058748550244536,SUMMER,0.21039721236015474,-0.8677665607702301,0.9062562527294002,0.849214775199151,-0.8677665607702301
1994-08-31,0.13639846122669727,0.6436398131371128,0.18149894516555862,0.038462780470631265,SUMMER,0.28559852999194923,-0.8455062851391867,0.9494170735056328,1.1636691069392435,-0.8455062851391867
1994-09-30,0.11942774593566792,0.6396425925618568,0.20302317913453333,0.037906482367941856,SUMMER,0.287761636183852,-0.9144929222489316,0.8606920618415107,1.2586485144429367,-0.9144929222489316
1994-10-31,0.14589260866464854,0.5756620346704918,0.22214592067671562,0.056299435988144075,SUMMER,0.21019278889042592,-1.1292731058026066,0.7141397076293635,1.029487461875773,-1.1292731058026066
1994-11-30,0.26099866230362107,0.44581002890909466,0.18492645530729296,0.10826485347999132,SUMMER,0.08854350536220357,-1.3724185792086794,0.659951032478082,0.40153322632049887,-1.3724185792086794
1994-12-31,0.3335061457299603,0.38019802625609644,0.15251292203232714,0.13378290598161613,SUMMER,0.06960073021990743,-1.513107556560169,0.6850821837107467,0.09827320916133797,-1.513107556560169
1995-01-31,0.3999239923612589,0.3218552630632191,0.12406398530023817,0.15415675927528374,SPRING,0.0777202020157598,-1.2563447950067554,0.714978380922146,-0.16287941929186533,-1.2563447950067554
1995-02-28,0.27210108939523736,0.40088209934610886,0.19479711828169366,0.13221969297696012,SUMMER,0.05736428576437835,-0.8351290300575273,0.5412815771985622,0.29062028853237754,-0.8351290300575273
1995-03-31,0.23589715599798614,0.38983989720335016,0.23316923292389483,0.14109371387476885,SUMMER,0.045110918540921086,-0.523286537883517,0.38547871752169083,0.37675515335203297,-0.523286537883517
1995-04-30,0.20702720359839846,0.3509277448177776,0.27802580387630477,0.16401924770751916,SUMMER,0.02912049949414397,-0.2554120932843947,0.1746498134795039,0.3957976080557101,-0.2554120932843947
1995-05-31,0.20029073541772527,0.3426001767812798,0.2884661554834504,0.16864293231754454,SUMMER,0.027732382994018367,0.05324433989515543,0.12898975112862018,0.4025955853634878,0.05324433989515543
1995-06-30,0.20644365862972378,0.33412354808079314,0.28397452359842745,0.17545826969105563,SUMMER,0.022689739148744503,0.27445091611463396,0.12196972538577003,0.3611124700532515,0.27445091611463396
1995-07-31,0.22279127293109435,0.3371216057450601,0.26497493209872536,0.17511218922512017,SUMMER,0.020335604928690687,0.5278014052743906,0.1806063656345382,0.3106562818895969,0.5278014052743906
1995-08-31,0.29588033842398614,0.2978719138577525,0.20380519593518967,0.20244255178307166,SUMMER,0.012759972728934699,0.5833248444568738,0.284624219330862,0.005031348247762378,0.5833248444568738
1995-09-30,0.4188821394644162,0.2542884269176579,0.12345896670996304,0.20337046690796276,SPRING,0.06595515047044131,0.8710913391159105,0.5419202357464483,-0.37434032134798456,0.8710913391159105
1995-10-31,0.4370589355094573,0.21944542827401547,0.11481804411075092,0.22867759210577632,SPRING,0.07632613041739511,1.0497816596827625,0.485816199797757,-0.516723349954023,1.0497816596827625
1995-11-30,0.3464487547670939,0.3043561403678024,0.16330497073173322,0.18589013413337038,SPRING,0.03483624912681349,1.1035245270685352,0.46693431848237643,-0.09715228778700381,1.1035245270685352
1995-12-31,0.2526146680859422,0.3327046461208844,0.23571098282813902,0.1789697029650344,SUMMER,0.017327552841802096,1.1118484765574894,0.25848655674449716,0.2065424033702391,1.1118484765574894
1996-01-31,0.2232607819623157,0.2940442849905033,0.27437134395852014,0.2083235890886609,SUMMER,0.007206175016295502,0.9727357555031059,0.05193594484073837,0.2065424033702391,0.9727357555031059
1996-02-29,0.21620390721106836,0.31424060939714343,0.2781693402927365,0.19138614309905172,SUMMER,0.013729168086950905,0.023635823421534603,0.09144667383900298,0.2804527403915951,0.023635823421534603
1996-03-31,0.1790214346264866,0.398173255964912,0.2916689453847579,0.13113636402384352,SUMMER,0.0619537692324621,-0.4942959969535401,0.23345086248729602,0.5995362614010422,-0.4942959969535401
1996-04-30,0.21041760599439382,0.4680035296663518,0.22183867168331814,0.0997401926559363,SUMMER,0.10027715834155126,-0.66418093909043,0.5598940682592618,0.5995362614010422,-0.66418093909043
1996-05-31,0.2705013301593678,0.5222918262618242,0.1365077887847303,0.0706990547940776,SUMMER,0.16896377417322972,-0.7992862670061093,1.0063836090903047,0.4934621025954059,-0.7992862670061093
